,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
965,MUZAFFARPUR RLY.,213,63,6,26,0,26,84,25,59,107,11,169,106.0,4145,382,3763,133,7,200,9,1,410,4,32,0,7,0,54,1928,7719,4.0,0.0008013329203942
966,MYSORE COMMR.,373,475,12,143,0,143,215,158,57,55,34,1441,1836.0,7307,4304,3003,959,139,1383,40,0,3958,85,229,2,1003,21,0,14540,34375,125.0,0.0019358421165583
967,MYSORE RURAL,762,554,16,226,0,226,307,164,143,69,6,239,2174.0,3348,800,2548,2863,80,464,14,16,11529,137,1122,2,1205,0,0,17992,43345,220.0,0.0012722496245925
968,MADHEPURA,44,123,1,10,0,10,78,57,0,3,4,37,0.0,185,55,130,225,13,37,0,10,35,8,8,0,50,0,62,1235,2426,43.0,8.26705120827466e-05
969,MADHUBANI,74,335,3,41,0,41,199,169,0,23,2,33,0.0,410,111,299,406,12,35,0,4,323,34,9,0,227,0,114,2510,5113,124.0,0.0001783274162381
970,MADURAI,67,180,4,37,0,37,200,167,33,9,17,163,0.0,508,126,382,210,16,662,1,31,251,5,79,10,326,0,460,3073,8212,324.0,0.0002282611931869
971,MADURAI CITY,33,51,1,6,0,6,27,13,10,4,0,118,0.0,576,389,187,23,8,247,27,7,4,1,22,1,69,0,106,1155,3226,123.0,0.0001506053910074
972,MAHABOOB NAGAR,240,87,27,169,0,169,63,50,13,6,0,23,0.0,1112,179,933,105,36,252,3,65,58,30,242,47,209,0,818,2714,7533,369.0,0.0003108463764362
973,MAHARAJGANJ,33,6,9,32,0,32,103,100,0,1,1,14,0.0,61,41,20,41,15,52,1,9,150,26,29,0,68,0,99,297,1162,27.0,5.452512456303104e-05
974,MAHASAMUND,22,16,1,44,0,44,87,7,8,1,1,9,0.0,223,77,146,39,7,37,3,2,36,10,99,4,28,0,201,1040,2469,163.0,6.991713336287549e-05
975,MAHENDERGARH,38,9,5,24,0,24,72,10,62,8,2,26,0.0,445,247,198,93,18,44,0,9,78,15,78,7,78,0,156,488,2262,199.0,0.0001185775415665
976,MAHISAGAR,18,8,2,10,0,10,25,16,1,3,0,4,0.0,32,16,16,11,9,4,1,5,26,0,15,0,96,0,86,500,1040,53.0,1.7686041667880964e-05
977,MAHOBA,27,29,7,22,0,22,58,52,0,1,0,18,0.0,57,27,30,26,18,30,0,0,3,14,62,1,22,0,84,223,814,34.0,3.8716317230653496e-05
978,MAINPURI,57,116,22,23,0,23,142,127,0,4,0,34,0.0,476,367,109,85,38,75,2,0,171,37,69,0,74,0,248,442,2469,57.0,0.0001535229807351
979,MALAPPURAM,19,50,5,103,0,103,8,3,5,1,0,34,0.0,310,150,160,682,13,374,5,9,103,1,346,10,590,0,319,2308,18057,271.0,0.0001633686153619
980,MALDA,102,664,23,252,0,252,340,14,293,9,41,26,0.0,429,232,197,46,0,114,82,41,1313,31,331,29,796,0,245,1108,6432,7.0,0.0002509685085144
981,MALKANGIRI,33,30,0,19,0,19,21,0,7,21,0,9,0.0,33,6,27,17,4,37,0,8,16,4,29,5,16,0,31,48,420,15.0,2.418416052154663e-05
982,MAMIT,1,0,0,10,0,10,2,0,0,1,0,0,0.0,33,2,31,0,0,2,0,2,3,0,6,0,2,0,5,8,116,40.0,8.303151868572802e-06
983,MANDI,15,6,0,47,0,47,46,33,0,1,0,0,0.0,57,19,38,51,9,59,0,24,65,0,101,15,50,0,63,896,1939,76.0,3.978292764855317e-05
984,MANDLA,36,15,3,64,0,64,141,0,141,0,0,5,0.0,57,23,34,6,1,22,0,4,248,6,99,1,76,0,97,1217,2220,72.0,5.673382859763559e-05
985,MANDSAUR,30,65,0,90,0,90,140,0,140,4,0,9,0.0,368,171,197,25,23,39,0,25,103,5,183,7,180,0,125,3276,5565,199.0,0.0001230704328345
986,MANDYA,41,65,5,36,0,36,69,7,12,17,1,61,0.0,421,220,201,230,6,88,0,20,37,11,278,12,143,0,385,1522,4984,201.0,0.0001302085179389
987,MANGALURU CITY,30,79,0,25,0,25,22,0,22,18,4,57,0.0,230,135,95,128,18,282,1,12,11,1,72,2,56,0,215,579,3039,228.0,9.32808243321916e-05
988,MANSA,32,17,0,22,0,22,15,8,6,1,2,0,0.0,52,22,30,0,12,109,0,1,61,5,22,2,39,0,55,238,793,51.0,3.081683638177811e-05
989,MATHURA,86,147,19,73,0,73,191,0,0,10,0,89,0.0,1159,846,313,190,70,267,7,4,245,48,114,0,267,0,384,881,4779,110.0,0.0003155985360827
990,MAU,28,66,18,25,0,25,88,84,4,0,1,23,0.0,226,120,106,93,25,101,3,8,227,16,51,1,81,0,116,114,1476,67.0,8.914237591074088e-05
991,MAYURBHANJ,110,130,1,139,0,139,135,40,19,12,0,40,0.0,252,73,179,39,19,77,2,13,43,32,324,21,270,0,159,523,2793,148.0,0.0001297720281371
992,MEDAK,130,84,7,60,0,60,59,10,35,5,0,20,0.0,787,246,541,39,20,312,2,45,49,34,211,47,346,0,780,2496,6931,384.0,0.0002106867353781
993,MEERUT,226,308,24,93,1,92,438,293,145,18,2,341,0.0,3550,2635,915,294,109,431,6,0,24,53,412,0,520,0,348,1897,10073,279.0,0.0009082926131012
994,MEHSANA,24,11,2,6,0,6,108,43,16,16,0,66,0.0,544,275,269,81,44,43,8,10,56,0,42,0,270,0,198,3640,6587,183.0,0.0001379800055377
995,METRO,0,3,0,1,0,1,10,0,5,0,0,4,0.0,2198,26,2172,1,10,17,0,1,2,0,28,3,0,0,2,26,2309,2.0,0.0003651811520631
996,MEWAT,33,68,2,85,0,85,75,23,46,13,2,27,0.0,452,318,134,224,15,36,0,5,53,5,86,1,106,0,139,624,2414,79.0,0.0001469067142659
997,MIRZAPUR,25,4,9,19,0,19,12,12,0,0,0,5,0.0,45,25,20,1,22,0,2,4,89,26,10,0,28,0,66,283,780,19.0,2.1220624498890016e-05
998,MOGA,25,38,0,29,0,29,36,23,3,1,5,4,0.0,147,42,105,0,16,88,1,5,85,0,39,2,27,0,109,346,1172,106.0,5.1220273206646536e-05
999,MOKOKCHUNG,5,3,0,1,0,1,2,0,2,0,0,2,0.0,10,5,5,0,0,8,0,0,4,0,2,0,0,0,5,11,67,2.0,3.971072632795688e-06
1000,MON,6,2,1,1,0,1,0,0,0,0,0,0,0.0,10,0,10,0,0,1,0,0,0,0,0,0,0,0,2,11,39,1.0,3.002918561163681e-06
1001,MORADABAD,90,80,24,89,0,89,190,10,150,13,1,66,0.0,788,507,281,78,59,221,1,0,51,36,189,1,403,0,209,1124,4026,120.0,0.0002429016518769
1002,MORBI,31,15,5,9,0,9,29,17,4,6,0,6,0.0,177,96,81,19,39,2,1,4,36,3,17,1,92,0,201,608,2332,41.0,4.9178944960697015e-05
1003,MORENA,43,47,3,43,0,43,120,69,46,6,26,69,0.0,503,239,264,101,10,14,2,7,308,30,131,4,192,0,199,3058,5944,158.0,0.0001480816266647
1004,MORIGAON,28,77,0,81,0,81,174,174,0,8,0,12,0.0,234,80,154,130,13,127,2,17,222,7,328,0,349,0,53,324,2557,93.0,0.0001236250702518
1005,MOTIHARI,146,106,0,31,0,31,262,223,39,22,3,25,0.0,660,200,460,944,100,130,4,25,800,75,0,0,263,0,257,5367,9490,240.0,0.0002882670543588
1006,MUKTSAR,29,20,2,29,0,29,30,22,1,0,1,0,0.0,93,32,61,0,16,56,1,2,42,1,24,1,26,0,44,233,781,77.0,3.8568632711252e-05
1007,MUMBAI COMMR.,183,181,4,607,0,607,541,15,71,34,14,2094,0.0,10101,3598,6503,409,672,2594,39,54,2006,22,1626,363,563,0,584,9140,40361,3055.0,0.0024202571858298
1008,MUMBAI RAILWAY,17,2,0,1,0,1,17,0,0,0,0,573,0.0,2247,0,2247,6,6,46,0,0,14,0,55,4,0,0,2,136,3141,4.0,0.0004242385504327
1009,MUNGALI,21,9,0,10,0,10,36,0,0,0,0,5,0.0,84,26,58,32,0,11,0,6,0,6,38,15,14,0,63,511,938,76.0,2.766295142300401e-05
1010,MUNGER,46,21,2,11,0,11,52,38,0,4,3,28,0.0,199,43,156,195,17,62,0,16,7,8,5,0,48,0,54,831,1778,51.0,7.5959071145501e-05
1011,MURSHIDABAD,158,2249,22,474,0,474,596,68,230,2,78,19,0.0,947,338,609,84,92,182,59,31,3813,36,526,16,2448,0,387,1665,14762,3.0,0.0004906112553299
1012,MUZAFFARNAGAR,137,157,29,37,0,37,242,194,47,3,4,95,0.0,800,469,331,136,66,145,1,8,13,17,148,0,168,0,225,1198,3952,36.0,0.0002632853974325
1013,MUZAFFARPUR,185,85,44,44,0,44,444,215,0,28,0,134,0.0,2097,1249,848,659,85,330,285,24,2943,178,166,0,109,5,185,1001,9373,281.0,0.0006033995637359
1014,MUZAFFARPUR RAILWAY,18,0,1,2,0,2,9,2,0,4,0,1,0.0,316,48,268,7,0,0,0,0,6,2,1,0,0,0,0,208,596,4.0,5.8693109888362057e-05
1015,MYSURU CITY,24,35,3,41,0,41,52,9,40,6,4,73,0.0,542,351,191,72,10,227,1,0,20,3,87,4,51,0,109,620,2766,106.0,0.0001509040419244
1016,MYSURU DISTRICT,52,51,4,41,0,41,50,5,45,5,0,28,0.0,496,147,349,266,8,87,0,18,34,20,201,5,107,0,298,1290,4118,183.0,0.0001421282995937
1017,N. C. HILLS,76,8,15,6,0,6,30,25,5,0,0,5,0.0,46,11,35,4,0,4,0,2,19,0,0,0,6,0,18,25,299,17.0,2.9382655604479167e-05
1018,N.C.HILLS,307,139,44,38,0,38,199,119,80,20,1,62,139.0,516,16,500,58,39,50,2,81,299,8,26,4,92,0,139,703,2986,20.0,0.000214848156947
1019,NADIA,1501,2437,341,1821,0,1821,2921,2709,212,254,468,420,166.0,12811,1466,11345,2618,406,1951,142,166,17831,544,1823,45,12962,72,2649,27086,91448,13.0,0.003947672841166
1020,NAGAON,1092,716,52,1654,3,1651,3048,2954,94,628,24,1004,3297.0,5561,1127,4434,3449,1065,996,56,696,7994,131,1228,71,6030,0,3369,16102,58670,407.0,0.0029245965377077
1021,NAGAPATTINAM,572,706,3,146,0,146,378,318,60,14,4,151,827.0,3143,775,2368,594,21,346,15,349,10093,55,638,149,173,0,2327,30468,51251,79.0,0.0009181645027537
1022,NAGAUR,608,510,23,590,0,590,876,685,191,13,2,181,2321.0,5121,1622,3499,161,147,4397,20,236,2548,184,1486,0,3367,0,2719,31137,56846,199.0,0.0018382029579647
1023,NAGPUR COMMR.,1278,841,62,657,0,657,764,556,208,213,450,3455,12414.0,30252,12463,17789,2762,800,3478,182,266,11935,78,1058,643,2538,0,3427,35124,113836,1159.0,0.0077339527576519
1024,NAGPUR RLY.,85,36,2,13,0,13,24,18,6,80,14,371,22.0,12528,173,12355,132,39,66,123,8,306,3,87,22,5,0,26,1410,15402,0.0,0.002144871503441
1025,NAGPUR RURAL,959,425,55,631,0,631,314,256,58,105,71,635,3462.0,12105,1504,10601,1549,346,655,37,654,9189,86,1303,699,1101,0,4995,18650,58253,227.0,0.0029358107155476
1026,NAINITAL,343,290,73,129,0,129,387,306,81,45,3,197,539.0,2116,731,1385,424,151,399,33,5,757,128,154,111,288,1,913,3567,11053,0.0,0.0006750954750881
1027,NALANDA,1830,1618,251,325,0,325,1318,652,666,300,40,654,1019.0,4269,527,3742,2471,553,1149,47,231,13963,815,415,4,1114,9,2126,16762,51403,120.0,0.0018325384361761
1028,NALBARI,407,281,6,366,0,366,798,634,164,156,6,288,938.0,1795,248,1547,166,175,342,16,149,3406,34,637,0,787,0,499,5056,16432,124.0,0.0007753404449796
1029,NALGONDA,1544,878,64,775,0,775,990,799,191,103,0,374,2838.0,6727,1536,5191,1843,444,3246,72,894,22514,429,3105,1855,4002,0,8403,34184,95659,375.0,0.0024574211746677
1030,NAMAKKAL,462,349,2,138,0,138,461,401,60,41,8,225,690.0,2767,1126,1641,812,32,578,40,156,10952,34,560,180,300,0,4660,26873,50427,107.0,0.0008833634662262
1031,NANDED,1052,989,52,460,0,460,516,396,120,298,78,968,4347.0,6829,1674,5155,3559,320,1832,40,789,16310,319,1097,92,3543,0,2521,21092,67534,431.0,0.0024381499858249
1032,NANDURBAR,453,203,8,244,0,244,130,111,19,105,8,136,865.0,2238,538,1700,1189,134,467,21,68,3311,18,391,94,1071,0,1434,4928,17601,85.0,0.000759590711455
1033,NARAYANPUR,193,376,0,35,0,35,33,7,26,87,0,19,64.0,81,25,56,5,8,15,1,62,238,1,31,3,8,0,76,449,1799,14.0,8.339908904512729e-05
1034,NARMADA,187,38,9,80,0,80,84,75,9,29,0,17,202.0,441,151,290,158,92,72,9,72,1317,0,78,6,117,0,752,5459,9245,26.0,0.00018548847449
1035,NARSINGHPUR,513,549,29,834,0,834,151,124,27,6,11,184,1281.0,1967,684,1283,367,54,206,2,221,14132,248,1797,216,709,0,1292,9475,34428,184.0,0.0008343125145157
1036,NASIK COMMR.,420,282,22,222,0,222,281,189,92,168,75,949,5186.0,14443,6784,7659,1588,328,1847,131,148,3181,44,494,164,1683,0,2511,10078,44524,279.0,0.0035528891476584
1037,NASIK RURAL,1160,645,30,629,0,629,354,248,106,373,84,669,2891.0,7553,2116,5437,4799,682,1584,89,325,10580,103,1278,456,4418,0,7401,17166,63583,314.0,0.0025359598020854
1038,NAUGACHIA,521,419,75,99,0,99,367,156,211,75,9,202,179.0,713,107,606,1403,215,397,5,53,1539,106,150,0,382,0,754,7101,14782,18.0,0.0004842444116046
1039,NAVI MUMBAI,686,333,21,329,0,329,327,156,171,215,224,2023,5493.0,18038,8622,9416,1532,851,3419,97,71,5416,62,587,249,957,0,4597,10676,56865,662.0,0.0045259988553859
1040,NAVSARI,279,72,2,51,0,51,155,131,24,49,4,101,804.0,1731,893,838,193,394,157,66,41,1056,3,58,6,469,0,0,10569,16368,108.0,0.0005296557603815
1041,NAWADAH,1012,771,70,283,0,283,722,320,402,166,27,314,534.0,1678,295,1383,2569,315,664,13,119,4385,266,110,8,474,10,1433,9683,25673,47.0,0.0009990989012639
1042,NAWAN SHAHR,129,147,9,82,0,82,89,61,28,10,14,63,399.0,614,178,436,0,20,542,9,14,1394,22,53,4,146,0,514,907,5181,0.0,0.0002455435638351
1043,NAYAGARH,418,511,6,276,0,276,361,287,74,88,15,342,694.0,1535,300,1235,431,60,307,3,143,4217,147,132,36,407,0,523,3541,14252,59.0,0.0006272752277058
1044,NEEMUCH,218,205,14,350,0,350,191,122,69,18,16,232,1850.0,3594,1221,2373,559,532,279,8,116,5353,32,778,141,664,12,841,11678,27788,107.0,0.0010482122086604
1045,NELLORE,1041,1227,51,514,0,514,982,855,127,126,8,291,2934.0,9700,2549,7151,904,678,2472,95,676,26667,115,2676,1842,3726,0,5272,16440,78801,364.0,0.0027456291552188
1046,NEW DELHI,93,94,22,103,0,103,377,216,161,7,13,205,590.0,9791,3145,6646,112,328,2571,164,20,415,8,332,155,111,0,804,8837,25171,19.0,0.0020958632161471
1047,NICOBAR,12,2,2,2,0,2,1,0,1,1,0,0,23.0,23,0,23,0,3,3,0,3,34,0,8,0,1,0,0,117,235,0.0,8.729796035732669e-06
1048,NILGIRIS,184,203,0,105,0,105,74,61,13,6,0,68,894.0,1265,196,1069,264,50,160,22,14,2764,8,250,50,94,0,504,10996,18028,53.0,0.0004028735232926
1049,NIZAMABAD,1456,712,170,461,0,461,684,417,267,128,3,347,3496.0,7062,1635,5427,900,352,2734,71,508,23552,242,1155,1013,5816,3,4861,13368,69574,480.0,0.0023028348653928
1050,NORTH,762,473,85,828,0,828,1806,1077,729,79,76,714,1584.0,14852,5989,8863,365,691,2007,108,172,3614,106,1116,170,2421,0,589,20520,53333,195.0,0.0037112496168735
1051,NORTH EAST,236,277,15,195,0,195,652,487,165,13,55,260,579.0,3668,2027,1641,27,100,325,19,7,946,71,148,15,309,0,182,5328,13427,0.0,0.0009946946207075
1052,NORTH GOA,318,165,46,217,0,217,163,108,55,32,0,183,2118.0,5337,1855,3482,531,383,792,118,173,1529,11,287,107,109,0,1625,6380,20843,219.0,0.0013844537586773
1053,NORTH WEST,504,435,53,475,0,475,1534,951,583,44,60,447,1939.0,9925,5393,4532,52,249,619,16,40,1429,107,434,71,599,0,160,18622,37814,0.0,0.0025700749260671
1054,NORTH-EAST,596,531,79,748,0,748,3656,2228,1428,33,73,690,1078.0,18968,12235,6733,59,208,1006,22,36,2414,203,993,150,2076,0,1347,15224,50333,143.0,0.0047450937627353
1055,NORTH-WEST,641,598,64,838,0,838,3117,1832,1285,54,112,1021,2325.0,20183,12502,7681,50,265,1409,12,32,1802,133,856,152,1817,0,361,21072,57245,331.0,0.0050359075545843
1056,NOWRANGPUR,321,263,15,404,0,404,341,322,19,68,0,152,539.0,864,139,725,611,54,161,3,85,944,15,822,115,364,0,487,4790,11451,33.0,0.0004889932893729
1057,NUAPADA,178,142,6,140,0,140,171,130,41,40,1,142,310.0,785,166,619,314,77,194,6,77,563,32,593,75,224,0,329,4874,9314,41.0,0.0003129434966117
1058,NABARANGPUR,23,35,0,73,0,73,100,82,3,3,0,12,0.0,56,18,38,94,4,33,1,7,5,1,194,12,93,0,51,691,1695,49.0,6.123984737848556e-05
1059,NADIA,166,654,18,204,0,204,463,408,42,13,43,41,0.0,1017,254,763,133,101,380,34,13,1106,50,192,8,1851,1,333,4061,11790,1.0,0.0004148753519026
1060,NAGAON,104,102,10,187,0,187,454,295,155,55,1,127,0.0,735,122,613,485,226,175,0,98,909,22,350,0,1162,0,239,1876,8399,455.0,0.0003468288891188
1061,NAGAPATTINAM,36,60,0,16,0,16,40,38,2,0,0,48,0.0,166,48,118,73,0,11,0,19,7,0,14,28,22,0,277,2386,4386,87.0,5.873249242686912e-05
1062,NAGAUR,69,85,1,102,0,102,133,106,25,2,3,14,0.0,472,206,266,0,2,166,1,22,9,8,94,0,516,0,327,2707,5743,208.0,0.0001611631932055
1063,NAGPUR COMMR.,103,92,5,113,0,113,145,46,2,16,16,505,0.0,2962,1604,1358,147,52,394,3,33,313,10,279,25,234,0,316,2339,10359,1074.0,0.0006866017400885
1064,NAGPUR RAILWAY,2,1,0,3,0,3,2,0,2,6,1,80,0.0,1531,50,1481,7,1,8,5,0,12,0,20,0,0,0,3,86,1768,0.0,0.0002625141560534
1065,NAGPUR RURAL,69,46,11,65,0,65,35,21,0,7,7,65,0.0,1024,276,748,60,28,60,2,41,146,4,187,25,85,0,437,1148,4564,249.0,0.0002267088647941
1066,NAINITAL,28,18,3,36,0,36,160,1,158,1,0,5,0.0,157,77,80,47,13,36,1,2,20,5,38,0,31,0,85,227,1095,35.0,7.494497077894407e-05
1067,NALANDA,107,52,31,29,0,29,207,119,36,9,0,58,0.0,464,168,296,328,9,157,0,15,630,59,4,0,271,0,115,3818,6871,95.0,0.0001839853742703
1068,NALBARI,27,18,0,41,0,41,116,100,16,18,0,114,0.0,225,25,200,23,17,43,1,8,32,0,0,0,42,0,13,1239,2122,145.0,9.147579131728446e-05
1069,NALGONDA,114,148,9,126,0,126,95,0,71,6,0,30,0.0,722,204,518,129,65,342,2,67,152,23,447,174,262,0,732,3884,9254,383.0,0.0002296067632526
1070,NAMAKKAL,35,37,1,0,0,0,27,10,6,0,1,31,0.0,130,46,84,44,5,40,0,10,20,0,48,3,11,0,420,1380,4003,65.0,4.2674262350613495e-05
1071,NANDED,73,73,4,43,0,43,95,40,55,8,2,62,0.0,511,204,307,192,25,11,4,41,171,6,147,3,180,0,268,1683,4600,243.0,0.00015400869871
1072,NANDURBAR,36,19,5,25,0,25,21,16,0,6,1,13,0.0,157,59,98,89,17,34,2,6,34,2,36,4,47,0,129,417,1425,84.0,5.492879558272845e-05
1073,NARAYANPUR,5,31,0,7,0,7,9,2,0,3,0,1,0.0,8,5,3,0,1,2,0,2,4,0,6,0,1,0,10,52,222,8.0,6.399662507398009e-06
1074,NARMADA,12,2,1,8,0,8,15,15,0,0,0,0,0.0,40,20,20,10,3,2,1,1,41,0,21,0,15,0,91,246,664,15.0,1.5382163165217678e-05
1075,NARSINGHPUR,40,30,4,113,0,113,87,53,34,0,1,7,0.0,145,65,80,21,8,25,0,20,1675,20,165,2,145,0,182,965,3777,122.0,8.057667378545432e-05
1076,NASIK COMMR.,26,30,0,28,0,28,59,3,2,13,29,124,0.0,1053,685,368,64,26,130,12,6,65,3,101,3,200,1,172,930,3883,299.0,0.0002410441088106
1077,NASIK RURAL,98,65,6,87,0,87,108,57,10,27,6,103,0.0,888,330,558,375,23,186,3,25,406,17,224,5,383,0,688,1140,6832,319.0,0.0002630458203233
1078,NAUGACHIA,37,4,0,10,0,10,54,36,5,4,0,16,0.0,76,11,65,84,9,25,0,3,10,10,3,0,88,0,75,1149,1732,17.0,4.070513542526026e-05
1079,NAVI MUMBAI,51,23,2,88,0,88,140,0,2,17,13,411,0.0,1447,654,793,89,105,576,9,10,109,6,158,49,131,0,361,986,5903,549.0,0.0003873797762683
1080,NAVSARI,19,11,0,15,0,15,37,19,11,7,0,9,0.0,227,116,111,19,45,21,1,2,44,0,19,0,69,0,240,479,1730,136.0,6.0534243563567325e-05
1081,NAWADAH,84,23,0,22,0,22,94,57,0,7,0,61,0.0,269,106,163,338,76,48,0,6,269,22,10,0,77,0,129,1658,3408,61.0,0.0001195456956381
1082,NAYAGARH,33,106,0,23,0,23,47,9,9,20,3,51,0.0,129,60,69,48,1,43,0,10,9,7,37,2,23,0,64,626,1487,65.0,5.494192309556414e-05
1083,NEEMUCH,8,18,0,47,0,47,41,0,14,0,1,9,0.0,250,132,118,17,44,17,0,5,56,3,88,2,43,0,142,1649,2986,79.0,6.832542243154829e-05
1084,NELLORE,78,117,4,58,0,58,153,64,16,8,0,44,0.0,1058,362,696,84,255,239,2,45,31,14,295,205,362,0,466,3037,8175,381.0,0.0002773088630192
1085,NEW DELHI,6,8,2,20,0,20,44,0,0,0,0,63,0.0,1252,163,1089,22,20,109,52,8,4,2,56,18,15,0,59,106,2421,53.0,0.0002396525924501
1086,NICOBAR,1,0,0,2,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,12,31,3.0,6.727850328290215e-07
1087,NILGIRIS,7,14,0,6,0,6,5,0,0,0,0,3,0.0,44,11,33,11,13,11,0,7,16,0,12,1,5,0,58,717,1199,38.0,1.3462264412998274e-05
1088,NIZAMABAD,122,60,12,36,0,36,57,11,32,5,0,21,0.0,712,278,434,46,26,306,2,65,64,25,163,145,658,0,560,2529,7053,416.0,0.0001921080228374
1089,NORTH,41,38,10,88,1,87,294,12,16,10,2,359,0.0,4355,904,3451,21,58,332,5,18,165,12,222,18,197,0,168,1046,8763,668.0,0.0008604822113536
1090,NORTH & MIDDLE ANDAMAN,2,1,2,11,0,11,8,0,4,0,0,0,0.0,10,1,9,0,1,5,0,1,9,0,14,1,4,0,4,38,159,8.0,6.022246513371973e-06
1091,NORTH 24 PARGANAS,141,691,38,227,0,227,728,0,728,8,24,42,0.0,1354,269,1085,330,194,323,24,44,1901,66,319,50,2027,0,275,5259,14867,3.0,0.0005106536855518
1092,NORTH GOA,20,25,3,55,0,55,93,0,8,8,0,13,0.0,733,261,472,95,57,152,8,30,82,0,146,40,11,0,138,425,2805,231.0,0.000176863698557
1093,NORTH-EAST,84,110,5,237,0,237,1047,0,114,14,0,1286,0.0,8185,3679,4506,25,53,353,0,19,71,27,492,50,349,0,120,2414,16904,1049.0,0.0017798938278267
1094,NORTH-WEST,48,81,1,165,0,165,663,0,0,13,3,734,0.0,7341,1957,5384,8,57,389,2,10,93,14,404,51,246,0,186,1075,13251,935.0,0.001472480295997
1095,NUAPADA,14,42,0,26,0,26,57,42,15,4,0,20,0.0,74,16,58,31,16,20,1,6,39,5,136,4,91,0,120,413,1175,56.0,3.99207665333279e-05
1096,OSMANABAD,584,323,22,356,0,356,248,181,67,234,27,374,2248.0,4746,872,3874,2196,248,1207,4,324,8439,27,879,118,1878,0,2887,9792,37340,179.0,0.0015204449460204
1097,OUTER,619,439,81,588,0,588,3576,2128,1448,34,32,487,1453.0,15008,9462,5546,39,208,1132,7,45,1585,155,749,208,1573,0,498,14369,43432,547.0,0.0039674527211312
1098,OSMANABAD,39,58,2,43,0,43,28,12,2,19,11,40,0.0,427,138,289,148,14,75,1,19,65,5,126,5,117,0,243,702,2825,206.0,0.0001180754142005
1099,OTHER UNITS,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1100,OUTER,87,89,3,259,0,259,1198,0,0,11,0,1009,0.0,10031,2656,7375,13,97,431,1,31,75,22,428,146,521,0,353,2501,20320,1842.0,0.0020451122515244
1101,PAKUR,428,528,59,515,0,515,210,126,84,65,3,93,170.0,988,195,793,943,74,245,3,67,1503,30,105,1,508,0,378,2469,9396,11.0,0.0005279623112257
1102,PALAKKAD,514,439,169,731,0,731,159,89,70,97,107,420,2883.0,3360,1210,2150,6879,654,2656,40,423,16177,38,1473,141,4026,0,63,50963,92571,159.0,0.0018782943821648
1103,PALAMU,1028,978,25,323,0,323,522,268,254,341,12,528,992.0,2055,432,1623,2168,169,500,0,208,4896,271,127,10,320,69,534,7357,23517,84.0,0.0010600007151868
1104,PALANPUR,547,344,5,377,0,377,838,782,56,140,0,544,2506.0,5298,1734,3564,937,400,597,98,300,12847,9,694,16,2851,0,2552,25278,57400,222.0,0.00167846738178
1105,PALI,509,652,51,574,0,574,1180,1050,130,8,1,279,2389.0,4436,1495,2941,440,318,4206,25,242,748,139,1575,14,4124,0,3325,40383,65854,236.0,0.0018044586862205
1106,PALWAL,292,342,32,281,0,281,327,248,79,55,87,196,513.0,3926,2812,1114,1076,238,260,3,32,1276,92,256,90,741,0,368,6815,17426,128.0,0.0010989795826742
1107,PANCHKULA,174,72,15,159,0,159,392,265,127,37,32,138,1627.0,3896,2245,1651,34,268,762,11,10,454,42,235,168,864,0,425,7701,17728,212.0,0.001072632664413
1108,PANCHMAHAL,686,173,8,128,0,128,642,627,15,274,4,231,1480.0,3322,1283,2039,601,500,273,50,371,4326,1,413,37,1763,0,657,25013,41085,132.0,0.0011103972369631
1109,PANCHSHIL NAGAR,117,140,24,33,0,33,165,129,36,5,1,93,91.0,719,439,280,107,57,225,2,3,57,32,47,0,128,0,368,1410,3824,0.0,0.0002383562505575
1110,PANIPAT,593,314,89,576,1,575,687,487,200,95,214,390,2225.0,8814,6399,2415,673,439,605,22,59,2183,163,287,243,1667,0,2941,8983,32494,232.0,0.0023776715341908
1111,PANNA,413,317,15,478,0,478,128,70,58,20,15,202,1451.0,1133,223,910,150,40,139,3,133,2354,208,1049,33,381,1,680,13827,23241,71.0,0.000565323212756
1112,PAPUM PARE,95,69,4,89,0,89,226,124,102,60,0,244,579.0,1587,769,818,78,184,205,13,71,921,0,137,12,54,0,151,1628,6453,46.0,0.0004657871285576
